reach,fighterspc,fighters,lfighters,gauss
154.000000,0.010684,1.000000,0.000000,0.073139
156.600000,0.000000,0.000000,0.000000,0.073441
159.200000,0.010684,1.000000,0.000000,0.073714
161.800000,0.010684,1.000000,1.000000,0.073956
164.400000,0.010684,1.000000,0.000000,0.074168
167.000000,0.010684,1.000000,0.000000,0.074349
169.600000,0.010684,1.000000,0.000000,0.074499
172.200000,0.021368,2.000000,1.000000,0.074618
174.800000,0.021368,2.000000,0.000000,0.074706
177.400000,0.042735,4.000000,0.000000,0.074762
180.000000,0.074786,7.000000,1.000000,0.074786
182.600000,0.064103,6.000000,0.000000,0.074779
185.200000,0.000000,0.000000,0.000000,0.074741
187.800000,0.032051,3.000000,0.000000,0.074671
190.400000,0.032051,3.000000,1.000000,0.074569
193.000000,0.010684,1.000000,0.000000,0.074436
195.600000,0.000000,0.000000,0.000000,0.074272
198.200000,0.000000,0.000000,0.000000,0.074077
200.800000,0.010684,1.000000,0.000000,0.073852
203.400000,0.010684,1.000000,0.000000,0.073596
