bouts,fighterspc,fighters,lfighters,gauss
12.000000,0.012449,2.000000,1.000000,0.045571
14.550000,0.006225,1.000000,0.000000,0.051352
17.100000,0.024899,4.000000,0.000000,0.056920
19.650000,0.037348,6.000000,2.000000,0.062062
22.200000,0.024899,4.000000,2.000000,0.066562
24.750000,0.074697,12.000000,2.000000,0.070223
27.300000,0.018674,3.000000,1.000000,0.072874
29.850000,0.049798,8.000000,0.000000,0.074390
32.400000,0.012449,2.000000,0.000000,0.074697
34.950000,0.031124,5.000000,1.000000,0.073779
37.500000,0.024899,4.000000,0.000000,0.071682
40.050000,0.006225,1.000000,1.000000,0.068507
42.600000,0.018674,3.000000,0.000000,0.064403
45.150000,0.006225,1.000000,0.000000,0.059556
47.700000,0.006225,1.000000,0.000000,0.054173
50.250000,0.012449,2.000000,0.000000,0.048472
52.800000,0.006225,1.000000,1.000000,0.042662
55.350000,0.000000,0.000000,0.000000,0.036935
57.900000,0.000000,0.000000,0.000000,0.031455
60.450000,0.018674,3.000000,0.000000,0.026350
