age,fighterspc,fighters,lfighters,gauss
23.000000,0.050000,4.000000,0.000000,0.042585
24.250000,0.050000,4.000000,1.000000,0.059289
25.500000,0.075000,6.000000,1.000000,0.077692
26.750000,0.075000,6.000000,0.000000,0.095824
28.000000,0.125000,10.000000,4.000000,0.111241
29.250000,0.112500,9.000000,1.000000,0.121546
30.500000,0.062500,5.000000,0.000000,0.125000
31.750000,0.037500,3.000000,1.000000,0.120995
33.000000,0.062500,5.000000,0.000000,0.110234
34.250000,0.025000,2.000000,1.000000,0.094527
35.500000,0.025000,2.000000,0.000000,0.076293
36.750000,0.012500,1.000000,0.000000,0.057957
38.000000,0.037500,3.000000,2.000000,0.041439
39.250000,0.012500,1.000000,0.000000,0.027888
40.500000,0.012500,1.000000,0.000000,0.017665
41.750000,0.012500,1.000000,0.000000,0.010531
43.000000,0.000000,0.000000,0.000000,0.005910
44.250000,0.000000,0.000000,0.000000,0.003121
45.500000,0.000000,0.000000,0.000000,0.001552
46.750000,0.012500,1.000000,0.000000,0.000726
