wins,fighterspc,fighters,lfighters,gauss
12.000000,0.013021,2.000000,1.000000,0.020223
14.400000,0.013021,2.000000,0.000000,0.028617
16.800000,0.039063,6.000000,1.000000,0.038466
19.200000,0.045573,7.000000,2.000000,0.049117
21.600000,0.013021,2.000000,1.000000,0.059577
24.000000,0.078125,12.000000,3.000000,0.068647
26.400000,0.019531,3.000000,0.000000,0.075138
28.800000,0.058594,9.000000,0.000000,0.078125
31.200000,0.032552,5.000000,1.000000,0.077164
33.600000,0.013021,2.000000,0.000000,0.072400
36.000000,0.013021,2.000000,0.000000,0.064529
38.400000,0.013021,2.000000,1.000000,0.054634
40.800000,0.006510,1.000000,0.000000,0.043941
43.200000,0.019531,3.000000,0.000000,0.033572
45.600000,0.000000,0.000000,0.000000,0.024365
48.000000,0.013021,2.000000,0.000000,0.016798
50.400000,0.006510,1.000000,1.000000,0.011001
52.800000,0.013021,2.000000,0.000000,0.006844
55.200000,0.000000,0.000000,0.000000,0.004045
57.600000,0.006510,1.000000,0.000000,0.002271
