KOs,fighterspc,fighters,lfighters,gauss
6.000000,0.041667,6.000000,1.000000,0.032691
8.250000,0.027778,4.000000,0.000000,0.040444
10.500000,0.062500,9.000000,2.000000,0.047982
12.750000,0.055556,8.000000,4.000000,0.054587
15.000000,0.048611,7.000000,0.000000,0.059551
17.250000,0.027778,4.000000,2.000000,0.062300
19.500000,0.041667,6.000000,1.000000,0.062500
21.750000,0.034722,5.000000,0.000000,0.060126
24.000000,0.027778,4.000000,0.000000,0.055468
26.250000,0.020833,3.000000,1.000000,0.049070
28.500000,0.006944,1.000000,0.000000,0.041627
30.750000,0.020833,3.000000,0.000000,0.033864
33.000000,0.006944,1.000000,0.000000,0.026417
35.250000,0.000000,0.000000,0.000000,0.019762
37.500000,0.000000,0.000000,0.000000,0.014176
39.750000,0.013889,2.000000,0.000000,0.009752
42.000000,0.000000,0.000000,0.000000,0.006433
44.250000,0.000000,0.000000,0.000000,0.004069
46.500000,0.000000,0.000000,0.000000,0.002469
48.750000,0.006944,1.000000,0.000000,0.001436
