lat,lon,ts,country,city
36.694896,-121.658891,2015-11-27 18:09:58,United States,Salinas
41.1411,-73.2642,2015-11-27 18:16:58,United States,Fairfield
34.1007,-84.519,2015-11-27 18:16:47,United States,Woodstock
41.49166343,-72.08990779,2015-11-27 18:06:56,United States,Montville
28.54916667,-81.37083333,2015-11-27 18:07:03,United States,Orlando
18.3765168,-66.7964422,2015-11-27 18:07:25,Puerto Rico,Arecibo
42.36792397,-83.07704786,2015-11-27 18:07:33,United States,Detroit
44.5673904,-123.2575684,2015-11-27 18:07:15,United States,Corvallis
41.96247888,-111.40340479,2015-11-27 18:07:18,United States,Garden City
41.1865,-74.0554,2015-11-27 18:07:14,United States,Pomona
37.78620864,-80.30875724,2015-11-27 18:07:15,United States,White Sulphur Springs
33.83782165,-116.30895962,2015-11-27 18:07:12,United States,Thousand Palms
40.68362427,-73.98845676,2015-11-27 18:07:14,United States,Kings County
37.4037,-79.1702,2015-11-27 18:16:09,United States,Lynchburg
33.97345555,-117.73013181,2015-11-27 18:16:37,United States,Chino Hills
37.41247469,-122.10967764,2015-11-27 18:15:47,United States,Palo Alto
32.97780391,-117.19530613,2015-11-27 18:15:48,United States,Rancho Santa Fe
47.1740572,-122.17877608,2015-11-27 18:15:32,United States,Bonney Lake
35.492974,-97.522847,2015-11-27 18:15:36,United States,Oklahoma City
51.53703282,0.68295378,2015-11-27 18:15:18,United Kingdom,Southend-on-Sea
25.67432046,-80.32366204,2015-11-27 18:15:27,United States,Miami
32.6016312,-80.0939484,2015-11-27 18:15:17,United States,Kiawah Island
26.9167,75.8167,2015-11-27 18:15:18,India,Jaipur
33.02959824,-96.6753006,2015-11-27 18:04:21,United States,Plano
44.9734802,-93.2198181,2015-11-27 18:04:26,United States,Minneapolis
40.80378013,19.91430993,2015-11-27 18:00:03,Albania,Kuçovë
36.345,-81.3806,2015-11-27 18:00:09,United States,Jefferson
33.883046,-117.88609,2015-11-27 17:59:59,United States,Fullerton
41.49888889,-81.68972222,2015-11-27 18:00:02,United States,Cleveland
42.3551903,-71.6129074,2015-11-27 17:59:45,United States,Marlborough
36.66452797,-90.52052909,2015-11-27 17:59:47,United States,Poplar Bluff
43.8266,-91.3051,2015-11-27 17:59:28,United States,La Crescent
29.1921,-94.9805,2015-11-27 17:59:32,United States,Jamaica Beach
36.1707,-86.7875,2015-11-27 17:59:12,United States,Nashville
26.01908656,-80.11595881,2015-11-27 17:59:16,United States,Hollywood
43.7833,11.25,2015-11-27 18:12:27,Italy,Firenze
25.813,-80.1341,2015-11-27 18:12:21,United States,Miami Beach
39.76515952,-75.04848122,2015-11-27 18:12:33,United States,Washington Township
25.9718304,-81.7272797,2015-11-27 18:12:33,United States,Marco Island
41.8369,-87.6844,2015-11-27 18:12:46,United States,Chicago
51.5026816,-0.2268726,2015-11-27 18:12:37,United Kingdom,London
35.22817548,-89.80583524,2015-11-27 18:12:47,United States,Memphis
38.76282,-78.2802,2015-11-27 18:12:46,United States,Rileyville
44.0564,-121.308,2015-11-27 18:12:55,United States,Bend
41.1865,-74.0554,2015-11-27 18:12:51,United States,Pomona
14.54810115,121.04823826,2015-11-27 18:17:01,Philippines,Taguig
35.7120285,-78.8514023,2015-11-27 18:16:50,United States,Apex
